iter	Passed	Remaining
408	5021	7256
409	5033	7243
410	5044	7229
411	5056	7216
412	5068	7204
413	5080	7190
414	5093	7179
415	5105	7167
416	5116	7153
417	5129	7141
418	5141	7129
419	5155	7119
420	5168	7107
421	5180	7094
422	5192	7083
423	5206	7072
424	5217	7059
425	5229	7046
426	5242	7034
427	5254	7021
428	5266	7009
429	5277	6996
430	5290	6984
431	5303	6973
432	5316	6961
433	5327	6947
434	5339	6934
435	5350	6921
436	5360	6906
437	5372	6893
438	5384	6881
439	5396	6868
440	5407	6854
441	5420	6843
442	5433	6831
443	5444	6817
444	5457	6806
445	5470	6794
446	5482	6782
447	5494	6769
448	5506	6757
449	5519	6746
450	5531	6733
451	5541	6718
452	5553	6705
453	5565	6693
454	5576	6679
455	5588	6666
456	5601	6655
457	5612	6642
458	5624	6629
459	5636	6617
460	5649	6604
461	5660	6591
462	5672	6578
463	5683	6565
464	5695	6552
465	5706	6538
466	5718	6526
467	5729	6513
468	5741	6500
469	5752	6487
470	5764	6474
471	5775	6460
472	5787	6447
473	5798	6434
474	5809	6420
475	5821	6408
476	5835	6398
477	5847	6386
478	5859	6373
479	5871	6360
480	5883	6348
481	5896	6337
482	5908	6324
483	5919	6311
484	5931	6298
485	5943	6285
486	5953	6271
487	5965	6259
488	5977	6246
489	5989	6233
490	6000	6220
491	6011	6206
492	6022	6193
493	6034	6181
494	6048	6170
495	6060	6157
496	6072	6145
497	6084	6133
498	6098	6122
499	6111	6111
500	6124	6100
501	6136	6087
502	6149	6076
503	6162	6064
504	6175	6052
505	6186	6039
506	6198	6027
507	6211	6016
508	6223	6003
509	6235	5990
510	6247	5978
511	6261	5967
512	6273	5955
513	6284	5942
514	6296	5929
515	6308	5917
516	6319	5904
517	6331	5891
518	6343	5879
519	6356	5867
520	6369	5855
521	6381	5843
522	6393	5831
523	6405	5818
524	6415	5804
525	6427	5792
526	6439	5779
527	6450	5766
528	6462	5753
529	6476	5742
530	6487	5730
531	6499	5717
532	6510	5704
533	6522	5691
534	6532	5678
535	6544	5665
536	6556	5653
537	6567	5639
538	6580	5628
539	6592	5616
540	6604	5603
541	6615	5590
542	6627	5577
543	6639	5565
544	6649	5551
545	6661	5539
546	6673	5526
547	6686	5514
548	6697	5502
549	6708	5488
550	6720	5476
551	6731	5463
552	6743	5450
553	6755	5438
554	6766	5425
555	6777	5412
556	6789	5400
557	6801	5387
558	6812	5374
559	6824	5362
560	6838	5351
561	6849	5338
562	6861	5325
563	6873	5313
564	6885	5301
565	6897	5288
566	6910	5277
567	6922	5264
568	6934	5252
569	6945	5239
570	6957	5226
571	6968	5214
572	6980	5201
573	6993	5189
574	7005	5178
575	7018	5166
576	7029	5153
577	7041	5141
578	7053	5128
579	7064	5115
580	7076	5103
581	7088	5090
582	7100	5078
583	7111	5065
584	7123	5053
585	7136	5042
586	7150	5030
587	7163	5019
588	7175	5007
589	7188	4995
590	7199	4982
591	7211	4969
592	7224	4958
593	7237	4946
594	7248	4934
595	7259	4920
596	7270	4908
597	7282	4895
598	7294	4883
599	7306	4871
600	7318	4858
601	7329	4846
602	7342	4834
603	7353	4821
604	7365	4809
605	7376	4796
606	7388	4783
607	7400	4771
608	7411	4758
609	7423	4745
610	7435	4733
611	7447	4721
612	7458	4708
613	7470	4696
614	7484	4685
615	7495	4672
616	7505	4658
617	7518	4647
618	7530	4635
619	7541	4622
620	7553	4610
621	7566	4598
622	7578	4586
623	7589	4573
624	7601	4560
625	7613	4548
626	7624	4535
627	7636	4523
628	7648	4511
629	7660	4499
630	7672	4486
631	7683	4474
632	7695	4461
633	7707	4449
634	7718	4436
635	7730	4424
636	7743	4412
637	7754	4399
638	7767	4388
639	7779	4376
640	7791	4363
641	7802	4351
642	7815	4339
643	7827	4327
644	7838	4313
645	7849	4301
